Trang,STT,Chức năng,Trạng thái,Hiện trạng,Giải pháp và Flow hoạt động
,94,Tổng số tiền,Hoàn Thành,"- Hiển thị số tiền cần thanh toán sau phí vận chuyển, mã giảm giá,...","Giải pháp:
- Tích hợp API của Giao Hàng Nhanh (GhnService.java), áp dụng mã giảm giá bằng CouponApiController.java
Flow:
- Tính phí vận chuyển**: Người dùng chọn Tỉnh/Quận/Phường -> JS gửi POST tới /api/ghn/calculate-fee với body toDistrictId và toWardCode -> GhnService.calculateFee() gọi API GHN -> Trả về phí vận chuyển -> JS cập nhật số tiền ship và cộng vào tổng tiền
- Áp dụng mã giảm giá**: Người dùng nhập/chọn mã -> Gửi POST /api/coupon/apply -> CouponService kiểm tra điều kiện đơn tối thiểu (minOrderValue), thời hạn sử dụng. Nếu hợp lệ, tính số tiền được giảm -> Set vào session attribute appliedDiscountAmount -> Trả về JSON -> JS trừ trực tiếp tiền giảm giá trên UI"
,95,Tính phí Ship theo quãng đường,Giảm tải,"Mong muốn:
- Phí ship cố định gây khó khăn khi phải giao hỏa tốc rau tươi
- Tính phí ship tự động theo quãng đường giao cho khách
",
,96,Theo dõi đơn hàng,Giảm tải,"Mong muốn:
- Khách hàng không biết khi nào hàng sẽ được giao đến, lau củ để ngoài dễ hư hỏng
- Thêm tính năng chọn khung giờ giao hàng (sáng 8-11h, chiều 14h-17h) lúc thanh toán",
,97,Tính phí Ship theo trọng lượng,Giảm tải,"Mong muốn:
- Phí ship bị nhảy bậc (vd: từ 1.9kg lên 2.1kg phí tăng) khiến khách hủy đơn
- Cho phép Admin làm tròn hoặc giữ nguyên phí ship nếu trọng lượng thực tế lệch không đáng kể so với mức cũ.",
,98,Xác nhận dùng điểm thưởng,Giảm tải,"Mong muốn:
- Xác nhận lần nữa quyết định của người dùng có sử dụng điểm thưởng hay không và điểm sẽ tích luỹ được sau khi thanh toán thành công",
,99,Nút đặt hàng,Hoàn Thành,"- Tự động check các dữ liệu địa chỉ đã đầy đủ thì thông báo thành công, còn thiếu dữ liệu sẽ không cho thanh toán.","Giải pháp:
- Kiểm tra ở cả frontend (JS validate required fields) và backend
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Xác nhận đơn hàng
/order-confirmation",100,Sau khi thanh toán thành công thêm các button về trang chủ/ tiếp tục mua sắm / Xem chi tiết đơn hàng,Hoàn Thành,"- User có thể check lại đơn hàng của mình xem có gì sai xót không, hoặc tiếp tục mua hàng.","Giải pháp:
- Sử dụng thẻ <a> trỏ tới /home, /products, và /ho-so/don-hang/detail?id=X
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,101,Thông báo điểm tích luỹ,Giảm tải,"Mong muốn:
- Chúc mừng khách hàng đã tích lũy thêm điểm. (Vd: Chúc mừng! Bạn vừa tích thêm 100 điểm vào tài khoản). 
- Giúp tạo cảm giác hài lòng và thu hút khách hàng quay lại mua hàng",
,102,Hiển thị Phương thức vận chuyển & Thời gian,Giảm tải,"- chỉ tính được giá vận chuyển 
Mong muốn:
- Chỉ hiển thị sản phẩm, thiếu thông tin về đơn vị vận chuyển và thời gian nhận hàng dự kiến.        
- Hiển thị rõ: Đơn vị giao hàng (GHTK, Grab...) và ước tính ngày nhận hàng (vd: Thứ 3, ngày 31/03)",
"Tin Tức
/tin-tuc",103,Chi tiết tin tức,Hoàn Thành,"- Hiển thị Ảnh đại diện, Tiêu đề, Mô tả ngắn, Ngày đăng, Nội dung và Lượt xem","Giải pháp:
- PostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,104,Bộ lọc bài viết theo Thẻ (Tags),Hoàn Thành,"- Danh sách thẻ đang hiển thị ngẫu nhiên hoặc theo thứ tự bảng chữ cái, chưa làm nổi bật các chủ đề được quan tâm
- Cho phép Admin trong trang quản trị (CMS) sắp xếp thứ tự các thẻ theo độ phổ biến (dựa trên số lượt click hoặc số bài viết).
- Giới hạn số lượng thẻ hiển thị ở Sidebar (VD: tối đa 10 thẻ hot nhất) và thêm nút xem tất cả để tránh làm loãng giao diện.","Giải pháp:
- PostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,105,tìm kiếm bài viết,Hoàn Thành,- Tìm kiếm các bài tin tức,"Giải pháp:
- PostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,106,Trạng thái hoạt động danh mục,Hoàn Thành,"- Hiển thị danh sách: An toàn thực phẩm, Công thức, Dinh dưỡng... kèm số lượng bài viết.","Giải pháp:
- PostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,107,Bài viết phổ biến,Hoàn Thành,- Hệ thống tự động lấy dữ liệu 4 bài viết có lượt xem cao nhất để gợi ý cho khách hàng,"Giải pháp:
- PostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Chi tiết tin tức
/chi-tiet-tin-tuc",108,Chia sẻ bài viết ,Hoàn Thành,- Người dùng đã có thể nhấn vào các biểu tượng mạng xã hội và hệ thống thực Hiển chuyển hướng sang tab mới thành công.,"Giải pháp:
- Static share links (target=""_blank"") và postService.getRelatedPosts(postId, categoryId, limit)
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,109,Tính năng bình luận tin tức,Giảm tải,"Mong muốn:
- Cho phép người dùng đăng bình luận, trả lời bình luận và thảo luận với nhau về nội dung bài viết.",
,110,"đánh giá bình luận, và reply lại bình luận",Giảm tải,"Mong muốn:
- Thêm nút hữu ích hay like để biết bình luận hữu ích hay không.
- Thêm nút trả lời để bàn luận sâu hơn về chủ đề đó.",
,111,"Lọc từ khóa bình luận, nút báo cáo bình luận",Giảm tải,"Mong muốn:
- Hệ thống tự lọc từ khóa và tự ẩn bình luận đó.
- Nút báo cáo để người dùng có thể phản ánh tới admin hệ thống.",
,112,Bài viết liên quan,Hoàn Thành,"Tự động hiển thị danh sách 3-4 bài viết có cùng Thẻ hoặc cùng Danh mục (ví dụ: đang xem bài về Rau củ sẽ gợi ý bài về Dinh dưỡng).
- Giao diện hiển thị bao gồm: Tiêu đề và Ngày đăng.
- Tăng khả năng điều hướng và giữ chân người dùng ở lại website lâu hơn.","Giải pháp:
- Static share links (target=""_blank"") và postService.getRelatedPosts(postId, categoryId, limit)
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Giá tốt
/gia-tot",113,Số sản phẩm giá tốt,Hoàn Thành,- Hiển thị đúng số lượng sản phẩm đang trong chương trình ưu đãi ,"Giải pháp:
- GiaTotController.java, FlashSaleService.java, FlashSaleDAO.java
Flow:
- Người dùng vào /gia-tot
- Servlet lấy danh sách flash sale đang chạy (flashSaleService.getActiveFlashSales())
- Lấy thời gian kết thúc flash sale gần nhất (flashSaleService.getNearestFlashSaleEndTime()) gửi sang JSP để chạy đồng hồ đếm ngược
- Sắp xếp danh sách trên giao diện theo filter (giá, % giảm)"
,114,Thời gian kết thúc flash sale,Hoàn Thành,"- Đồng hồ đếm ngược hoạt động bình thường, hiển thị rõ Giờ : Phút : Giây.","Giải pháp:
- GiaTotController.java, FlashSaleService.java, FlashSaleDAO.java
Flow:
- Người dùng vào /gia-tot
- Servlet lấy danh sách flash sale đang chạy (flashSaleService.getActiveFlashSales())
- Lấy thời gian kết thúc flash sale gần nhất (flashSaleService.getNearestFlashSaleEndTime()) gửi sang JSP để chạy đồng hồ đếm ngược
- Sắp xếp danh sách trên giao diện theo filter (giá, % giảm)"
,115,Tăng giá/ giảm giá,Hoàn Thành,"- Khi nhấn Giá tăng sản phẩm rẻ nhất lên đầu, khi nhấn Giá giảm, sản phẩm giảm sâu nhất lên đầu","Giải pháp:
- GiaTotController.java, FlashSaleService.java, FlashSaleDAO.java
Flow:
- Người dùng vào /gia-tot
- Servlet lấy danh sách flash sale đang chạy (flashSaleService.getActiveFlashSales())
- Lấy thời gian kết thúc flash sale gần nhất (flashSaleService.getNearestFlashSaleEndTime()) gửi sang JSP để chạy đồng hồ đếm ngược
- Sắp xếp danh sách trên giao,147,tìm kiếm theo tên,Hoàn Thành,Admin tìm kiếm sản phẩm theo từ khóa tên sản phẩm để nhanh chóng lọc ra danh sách mong muốn.,"Giải pháp:
- AdminProductController.java (doGet), ProductService.java, ProductDAO.java
Flow:
- Admin nhập từ khóa tên sản phẩm và nhấn tìm kiếm hoặc thay đổi giá trị ô nhập liệu.
- Frontend gửi request GET /admin/products?search=<từ_khóa> lên máy chủ.
- AdminProductController.doGet() lấy tham số search, gọi productService.getProductsFiltered(...) để thực thi câu lệnh SQL LIKE truy vấn dữ liệu.
- Forward danh sách kết quả lọc sang /admin/products.jsp hiển thị."
,148,"Bộ lọc danh mục, trạng thái, sắp xếp ",Hoàn Thành,Lọc sản phẩm theo danh mục và trạng thái tồn kho/hạn dùng; sắp xếp danh sách theo tên/giá/ngày tạo.,"Giải pháp:
- AdminProductController.java (doGet), ProductService.java, ProductDAO.java
Flow:
- Admin chọn danh mục, trạng thái (ví dụ: instock, expiring, expired...) hoặc tiêu chí sắp xếp trên bộ lọc UI.
- Browser gửi request GET /admin/products kèm theo các tham số category, status, sort lên server.
- Controller tiếp nhận tham số, gọi productService.getProductsFiltered(...) để truy vấn dữ liệu đã lọc ở DB, sau đó render lại danh sách."
,149,Lọc theo hạn sử dụng,Hoàn Thành,"- Lọc và hiển thị trạng thái hạn sử dụng (Còn hạn, Sắp hết hạn trong 3 ngày, Hết hạn).
- Hỗ trợ Admin lọc nhanh hàng cận date để tạo chiến dịch Flash Sale nhằm xả kho.","Giải pháp:
- AdminProductController.java, AdminFlashSaleController.java, ProductVariant.java
Flow:
- Ở trang quản lý sản phẩm, hệ thống tự động xác định trạng thái của từng biến thể (còn hạn, sắp hết hạn, hết hạn) bằng logic so sánh hạn dùng với thời gian hiện tại trong hàm ProductVariant.getExpiryStatus().
- Tại trang thêm Flash Sale (/admin/flash-sales/add), Admin check chọn ""Chỉ hiển thị sản phẩm sắp hết hạn"" để JavaScript lọc nhanh các sản phẩm có biến thể cận date và chọn nhanh hàng loạt đưa vào chiến dịch giảm giá."�n thoại, tiêu đề, nội dung thì không gửi được tin nhắn","Giải pháp:
- ContactController.java, ContactService.java, ContactDAO.java, RecaptchaUtil.java
Flow:
- Khách hàng điền form liên hệ và xác nhận reCAPTCHA
- Submit form -> ContactController.doPost() gọi RecaptchaUtil.verify(recaptchaResponse)
- Nếu Captcha không hợp lệ, trả lỗi. Nếu hợp lệ, lưu thông tin liên hệ vào DB và gửi email thông báo cho Admin"
,121,Spam liên hệ,Hoàn Thành,"- Form liên hệ đã tích hợp mã captcha.
- Khắc phục được lỗ hổng bảo mật gây spam email ","Giải pháp:
- ContactController.java, ContactService.java, ContactDAO.java, RecaptchaUtil.java
Flow:
- Khách hàng điền form liên hệ và xác nhận reCAPTCHA
- Submit form -> ContactController.doPost() gọi RecaptchaUtil.verify(recaptchaResponse)
- Nếu Captcha không hợp lệ, trả lỗi. Nếu hợp lệ, lưu thông tin liên hệ vào DB và gửi email thông báo cho Admin"
"Admin Login
/admin/login",122,Đăng nhập admin,Hoàn Thành,"""Tài khoản có quyền admin có thể đăng nhập vào trang quản trị 
Luôn báo sai tên tài khoản hoặc mật khẩu để tránh dò tài khoản""","Giải pháp:
- AdminLoginController.java, AuthService.java
Flow:
- Admin gửi POST đăng nhập -> Servlet kiểm tra trạng thái khóa tạm thời lockoutUntil
- Nếu số lần sai loginAttempts >= 3, bắt buộc verify Captcha
- Kiểm tra thông tin tài khoản bằng authService.checkLogin(username, password)
- Nếu thành công, kiểm tra vai trò (role khác ""user""). Reset số lần đăng nhập sai
- Đăng nhập sai: tăng loginAttempts. Nếu đạt 5 lần, set lockoutUntil = CurrentTime + 30 phút"
,123,Chống tấn công dò mật khẩu (Admin login),Hoàn Thành,"- Hệ thống giới hạn số lần thử đăng nhập để bảo vệ khu vực quản trị khỏi việc bị rà quét tự động
- Đếm số lần login thất bại, nếu sai nhìu -> khoá tài khoản 15-30p
- Sau 3 lần sai hiển thị captcha ","Giải pháp:
- AdminLoginController.java, AuthService.java
Flow:
- Admin gửi POST đăng nhập -> Servlet kiểm tra trạng thái khóa tạm thời lockoutUntil
- Nếu số lần sai loginAttempts >= 3, bắt buộc verify Captcha
- Kiểm tra thông tin tài khoản bằng authService.checkLogin(username, password)
- Nếu thành công, kiểm tra vai trò (role khác ""user""). Reset số lần đăng nhập sai
- Đăng nhập sai: tăng loginAttempts. Nếu đạt 5 lần, set lockoutUntil = CurrentTime + 30 phút"
,124,Xác thực đăng nhập (Admin),Giảm tải,"Mong muốn:
- Áp dụng bắt buộc xác thực 2 bước (gg auth 2FA/ Email OTP) cho tài khoản có quyền admin.",
,125,Đăng xuất admin,Hoàn Thành,"Khi đăng xuất thì sẽ xóa toàn bộ session, cookie đề phòng bị tấn công mạng virut.","Giải pháp:
- AdminLoginController.java, AuthService.java
Flow:
- Admin gửi POST đăng nhập -> Servlet kiểm tra trạng thái khóa tạm thời lockoutUntil
- Nếu số lần sai loginAttempts >= 3, bắt buộc verify Captcha
- Kiểm tra thông tin tài khoản bằng authService.checkLogin(username, password)
- Nếu thành công, kiểm tra vai trò (role khác ""user""). Reset số lần đăng nhập sai
- Đăng nhập sai: tăng loginAttempts. Nếu đạt 5 lần, set lockoutUntil = CurrentTime + 30 phút"
"Admin Dashboard
/admin/dashboard",126,Tổng danh thu/ phần trăm doanh thu,Hoàn Thành,"- Hiển thị tổng số doanh thu dựa trên tổng số giá tiền đơn hàng
- Hiển thị phần trăm tăng trưởng so với tháng trước ","Giải pháp:
- AdminDashboardController.java, DashboardService.java, DashboardDAO.java
- Lợi nhuận được tính bằng**: Doanh thu đơn hàng hoàn thành - Tổng giá nhập kho của các sản phẩm đó - Phí vận chuyển - Tổng số tiền hoàn trả - Giá trị hàng hết hạn tiêu hủy
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,127,Đơn hàng,Hoàn Thành,- Hiển thị tổng số các đơn hàng đang có trong hệ thống bao gồm cả hủy,"Giải pháp:
- AdminDashboardController.java, DashboardService.java, DashboardDAO.java
- Lợi nhuận được tính bằng**: Doanh thu đơn hàng hoàn thành - Tổng giá nhập kho của các sản phẩm đó - Phí vận chuyển - Tổng số tiền hoàn trả - Giá trị hàng hết hạn tiêu hủy
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,128,Tổng sản phẩm,Hoàn Thành,Hiển thị số lượng sản phẩm ,"Giải pháp:
- AdminDashboardController.java, DashboardService.java, DashboardDAO.java
- Lợi nhuận được tính bằng**: Doanh thu đơn hàng hoàn thành - Tổng giá nhập kho của các sản phẩm đó - Phí vận chuyển - Tổng số tiền hoàn trả - Giá trị hàng hết hạn tiêu hủy
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,129,Khách hàng,Hoàn Thành,Hiển thị số lượng khách hàng ,"Giải pháp:
- AdminDashboardController.java, DashboardService.java, DashboardDAO.java
- Lợi nhuận được tính bằng**: Doanh thu đơn hàng hoàn thành - Tổng giá nhập kho của các sản phẩm đó - Phí vận chuyển - Tổng số tiền hoàn trả - Giá trị hàng hết hạn tiêu hủy
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,130,Biểu đồ tổng quan,Hoàn Thành,Có biểu đồ trực quan (Biểu đồ đường/cột cho Doanh thu 7 ngày qua và Doanh thu 6 tháng gần nhất) hiển thị,"Giải pháp:
- AdminDashboardController.java, DashboardService.java, DashboardDAO.java
- Lợi nhuận được tính bằng**: Doanh thu đơn hàng hoàn thành - Tổng giá nhập kho của các sản phẩm đó - Phí vận chuyển - Tổng số tiền hoàn trả - Giá trị hàng hết hạn tiêu hủy
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,131,Lợi nhuận,Hoàn Thành,"- Hiển thị lợi nhuận sau khi trừ các chi phí cost, chi phí vận chuyển, chi phí hoàn tiền, chương trình flash-sale, mã giảm giá, sản phẩm bị tiêu hủy do hết hạn","Giải pháp:
- AdminDashboardController.java, DashboardService.java, DashboardDAO.java
- Lợi nhuận được tính bằng**: Doanh thu đơn hàng hoàn thành - Tổng giá nhập kho của các sản phẩm đó - Phí vận chuyển - Tổng số tiền hoàn trả - Giá trị hàng hết hạn tiêu hủy
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Amin Thông báo
/admin/notifications",132,Đánh đấu đã đọc tất cả,Hoàn Thành,Đang bình thường,"Giải pháp:
- AdminNotificationController.java, UserNotificationService.java
Flow:
- Admin click vào dòng thông báo -> Gọi API đánh dấu đã đọc userNotificationService.markAsRead(notificationId)
- Servlet trả về link đích target_url (ví dụ: /admin/orders/edit?id=OrderId) -> JS redirect Admin đến trang xử lý đơn hàng đó"
,133,Điều hướng từ thông báo,Hoàn Thành,"- Khi click vào nội dung thông báo, admin đã được chuyển đúng đến trang xử lý nghiệp vụ liên quan.
","Giải pháp:
- AdminNotificationController.java, UserNotificationService.java
Flow:
- Admin click vào dòng thông báo -> Gọi API đánh dấu đã đọc userNotificationService.markAsRead(notificationId)
- Servlet trả về link đích target_url (ví dụ: /admin/orders/edit?id=OrderId) -> JS redirect Admin đến trang xử lý đơn hàng đó"
,134,Tìm kiếm thông báo,Giảm tải,"Mong muốn:
- Có thể tìm kiếm thông báo theo tên, chữ có trong danh sách các thông báo của hệ thống ",
,135,Ghim thông báo quan trọng,Giảm tải,"Mong muốn:
- Các thông báo quan trọng như: (lỗi hệ thống, lỗi hình ảnh,..) sẽ bị trôi đi và tính năng này sẽ cho phép Admin Ghim các thông báo quan trọng lên đầu danh sách để xử lý sau.",
,136,Đánh dấu đọc từng thông báo ,Hoàn Thành,Đang bình thường,"Giải pháp:
- AdminNotificationController.java, UserNotificationService.java
Flow:
- Admin click vào dòng thông báo -> Gọi API đánh dấu đã đọc userNotificationService.markAsRead(notificationId)
- Servlet trả về link đích target_url (ví dụ: /admin/orders/edit?id=OrderId) -> JS redirect Admin đến trang xử lý đơn hàng đó"
Admin Quản lý mã giảm giá,137,Danh sách mã giảm giá ,Hoàn Thành,"- Hiển thị danh sách voucher:mã,loại giảm (%, tiền, freeship),giá trị,điều kiện áp dụng,thời gian,trạng thái (đang hoạt động / hết hạn)","Giải pháp:
- AdminCouponController.java, CouponService.java, CouponDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,138,Bộ lọc mã giảm giá,Hoàn Thành,"- Lọc được các trạng thái : tất cả, hoạt động, sắp diễn ra, hết hạn, đã tắt","Giải pháp:
- AdminCouponController.java, CouponService.java, CouponDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,139,Tạo mã giảm giá,Hoàn Thành,"-Nhân viên có thể vào tạo mã giảm giảm giá với các thông tin: Mã code, loại giảm(%, tiền, freeship),giá trị giảm giảm tối đa, giá trị đơn tối thiểu
- Với các điều kiện áp dụng: Số lượng mã, giới hạn mỗi user bao nhiêu lần, thời gian bắt đầu/ kết thúc

","Giải pháp:
- AdminCouponController.java, CouponService.java, CouponDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,140,Nút kích hoạt ngay lập tức ,Hoàn Thành,"- Khi tick vào nút kích hoạt ngay lập tức, mã giảm giá sẽ được bật lên, nếu không stick thi  trạng thái mã giảm giá sẽ bị tắt ","Giải pháp:
- AdminCouponController.java, CouponService.java, CouponDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,141,Bật / tắc trạng thái mã,Hoàn Thành,"- Hiển thị trạng thái: đang hoạt động, sắp diễn ra, hết lượt, đã hết hạn
- Có thể tắt bật tắc mã giảm giá
","Giải pháp:
- AdminCouponController.java, CouponService.java, CouponDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,142,Xem chi tiết mã,Hoàn Thành,"- Xem được chi tiết mã giảm  giá: Mã code, loại giảm(%, tiền, freeship),giá trị giảm giảm tối đa, giá trị đơn tối thiểu, số lượng mã, giới hạn mỗi user bao nhiêu lần, thời gian bắt đầu/ kết thúc
- Xem được số lượt đã dùng, tổng số tiền đã giảm, tỷ lệ sử dụng mã
- Xem được lịch sử các đơn hàng đã sử dụng mẫ giảm giá","Giải pháp:
- AdminCouponController.java, CouponService.java, CouponDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,143,Chỉnh sửa / Xóa mã,Hoàn Thành," Cho phép chỉnh sửa nhưng giới hạn sửa coupon đã dùng,không cho sửa: mã code, loại giảm giá, giá trị giảm, giảm tối đa, giới hạn sử dụng
- Không cho phép xóa mã vật lý chỉ xõa những mã chưa được sử dụng, các mã đã sử dụng nút xoá bị ẩn đi","Giải pháp:
- AdminCouponController.java, CouponService.java, CouponDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Admin Quản lý sản phẩm
/admin/products",144,Quản lý lịch sử sản phẩm,Giảm tải,"- Chỉ hiện thị ngày cập nhật
Mong muốn:
- Chưa tích hợp tính năng quản lý lịch sử chỉnh sửa, gây khó kiểm soát khi có nhiều nhân viên cùng thao tác
- Lưu trữ vết sửa đổi giá, tồn kho và có time sửa cụ thể",
,145,Ẩn sản phẩm ,Hoàn Thành,"Chức năng ẩn sản phẩm đang hoạt động, có cơ chế thùng rác, nếu ẩn nhầm thì không thể khôi phục","Giải pháp:
- Thêm cột deleted_at trong bảng products
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,146,Xoá sản phẩm,Hoàn Thành,Vào thùng rác để xoá hoàn toàn sản phẩm,"Giải pháp:
- Thêm cột deleted_at trong bảng products
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,147,tìm kiếm theo tên,Hoàn Thành,Admin tìm kiếm sản phẩm theo từ khóa tên sản phẩm để nhanh chóng lọc ra danh sách mong muốn.,"Giải pháp:
- AdminProductController.java (doGet), ProductService.java, ProductDAO.java
Flow:
- Admin nhập từ khóa tên sản phẩm và nhấn tìm kiếm hoặc thay đổi giá trị ô nhập liệu.
- Frontend gửi request GET /admin/products?search=<từ_khóa> lên máy chủ.
- AdminProductController.doGet() lấy tham số search, gọi productService.getProductsFiltered(...) để thực thi câu lệnh SQL LIKE truy vấn dữ liệu.
- Forward danh sách kết quả lọc sang /admin/products.jsp hiển thị."
,148,"Bộ lọc danh mục, trạng thái, sắp xếp ",Hoàn Thành,Lọc sản phẩm theo danh mục và trạng thái tồn kho/hạn dùng; sắp xếp danh sách theo tên/giá/ngày tạo.,"Giải pháp:
- AdminProductController.java (doGet), ProductService.java, ProductDAO.java
Flow:
- Admin chọn danh mục, trạng thái (ví dụ: instock, expiring, expired...) hoặc tiêu chí sắp xếp trên bộ lọc UI.
- Browser gửi request GET /admin/products kèm theo các tham số category, status, sort lên server.
- Controller tiếp nhận tham số, gọi productService.getProductsFiltered(...) để truy vấn dữ liệu đã lọc ở DB, sau đó render lại danh sách."
,149,Lọc theo hạn sử dụng,Hoàn Thành,"- Lọc và hiển thị trạng thái hạn sử dụng (Còn hạn, Sắp hết hạn trong 3 ngày, Hết hạn).
- Hỗ trợ Admin lọc nhanh hàng cận date để tạo chiến dịch Flash Sale nhằm xả kho.","Giải pháp:
- AdminProductController.java, AdminFlashSaleController.java, ProductVariant.java
Flow:
- Ở trang quản lý sản phẩm, hệ thống tự động xác định trạng thái của từng biến thể (còn hạn, sắp hết hạn, hết hạn) bằng logic so sánh hạn dùng với thời gian hiện tại trong hàm ProductVariant.getExpiryStatus().
- Tại trang thêm Flash Sale (/admin/flash-sales/add), Admin check chọn ""Chỉ hiển thị sản phẩm sắp hết hạn"" để JavaScript lọc nhanh các sản phẩm có biến thể cận date và chọn nhanh hàng loạt đưa vào chiến dịch giảm giá."
,150,Xuất excel,Hoàn Thành,Xuất ra được file excel,"Giải pháp:
- ExcelExportService.java sử dụng thư viện Apache POI để viết bảng tính Excel
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,151,Tồn kho,Hoàn Thành,"- Bán theo cây/gói/quả/trái nhưng trừ tồn kho theo kg (hoặc ngược lại) gây lệch số liệu thực tế.
- Hệ thống hỗ trợ đơn vị tính kép (vừa theo hộp, vừa theo trọng lượng kg) để kiểm kê chính xác.","Giải pháp:
- Cấu hình thuộc tính quy đổi đơn vị trong bảng product_variants (ví dụ: Biến thể ""Hộp 500g"" có trọng lượng quy đổi là 0.5kg)
- Khi bán 1 hộp, hệ thống tự động trừ tồn kho ảo tương ứng 0.5kg
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,152,Tự động tạo Slug từ Tiêu đề,Giảm tải,"Mong muốn:
- Khi nhập Tên sản phẩm hoặc Tiêu đề bài viết, hệ thống tự động chuyển thành slug (viết thường, không dấu, ngăn cách bằng dấu -).
VD: ""Rau nêm Ngò rí"" → rau-nem-ngo-ri",
,153,Chỉnh sửa Slug thủ công	,Giảm tải,"Mong muốn:
- Cho phép Admin nhấp vào ô Slug để sửa lại theo ý muốn. Hệ thống vẫn phải tự động loại bỏ dấu và ký tự đặc biệt ngay khi Admin đang gõ.",
,154,Kiểm tra trùng lặp Slug ,Giảm tải,"Mong muốn:
Khi lưu, hệ thống phải kiểm tra trong database, nếu trùng phải hiển thị cảnh báo (Đường dẫn đã tồn tại) hoặc tự động thêm hậu tố số (VD: san-pham-1) để đảm bảo link là duy nhất.",
,155,Chọn tất cả sản phẩm,Hoàn Thành,"- Thêm được tính năng chọn tất cả sản phẩm trên 1 trang, chọn tất cả sản phẩm trên tất cả các trang","Giải pháp:
- JavaScript quản lý mảng Checkbox trên giao diện quản trị
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Admin Thêm sản phẩm
/admin/products/add",156,tạo sản phẩm mới,Giảm tải,"Thêm được sản phẩm mới
Mong muốn:
-Thêm tính năng nhập liệu sản phẩm nhanh, theo định dạng, theo file, theo link gg sheet, không cần phải nhập liệu từng dòng",
,157,Giá  nhập kho ,Hoàn Thành,"- Admin nhập được giá nhập cho từng sản phẩm 
- Hệ thống dùng giá nhập để tính tỉ lệ lợi nhuận so với tháng trước
- Giá nhập không xuất hiện ở trang bán sản phẩm
- Có thể thay đổi giá nhập theo các lần nhập hàng nếu sau này mở rộng quản lý kho
- Giá nhập phải là số dương
- Chỉ admin hoặc nhân sự được phân quyền mới xem/sửa được giá nhập","Giải pháp:
- Form product-add.jsp cho phép tạo động nhiều dòng biến thể
- Khi submit, Servlet lặp qua mảng dữ liệu biến thể gửi lên và lưu vào bảng product_variants liên kết với product_id
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
